HPO term_id,HPO_term_name,phecode,phecode string,class,suppress?,# of Mendelian diseases tested with this phenotype for this study
7089,Facial-lingual fasciculations,350.1,Abnormal involuntary movements,,0,1
7095,Frontoparietal polymicrogyria,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
7097,Cranial nerve motor loss,352,Disorders of other cranial nerves,,0,1
7098,Paroxysmal choreoathetosis,333.3,Tics and choreas,,0,3
7099,Arnold-Chiari type I malformation,348.2,Cerebral edema and compression of brain,,0,1
7103,Hypointensity of cerebral white matter on MRI,,-,,-,0
7105,Infantile encephalopathy,661,Fetal distress and abnormal forces of labor,Infantile,1,0
7107,Segmental peripheral demyelination,357,Inflammatory and toxic neuropathy,,0,2
7108,Demyelinating peripheral neuropathy,357,Inflammatory and toxic neuropathy,,0,3
7109,Periventricular cysts,348.4,Cerebral cysts,,0,1
7110,Central hypoventilation,327.31,Central/nonobstroctive sleep apnea,,0,2
7112,Temporal cortical atrophy,331,Other cerebral degenerations,,0,0
7123,Subcortical dementia,290.1,Dementias,,0,1
7126,Proximal amyotrophy,772.1,Muscular wasting and disuse atrophy,,0,11
7131,Acute demyelinating polyneuropathy,357,Inflammatory and toxic neuropathy,,0,0
7132,Pallidal degeneration,333.8,Other degenerative diseases of the basal ganglia,,0,1
7133,Progressive peripheral neuropathy,356,Hereditary and idiopathic peripheral neuropathy,,0,2
7141,Sensorimotor neuropathy,356,Hereditary and idiopathic peripheral neuropathy,,0,10
7146,Bilateral basal ganglia lesions,,-,,-,0
7149,Distal upper limb amyotrophy,772.1,Muscular wasting and disuse atrophy,,0,2
7153,Progressive extrapyramidal movement disorder,333,Extrapyramidal disease and abnormal movement disorders,,0,1
7159,Fluctuations in consciousness,291.8,Alteration of consciousness,,0,0
7162,Diffuse demyelination of the cerebral white matter,341,Other demyelinating diseases of central nervous system,,0,1
7165,Periventricular gray matter heterotopia,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
7166,Paroxysmal dyskinesia,,-,,-,0
7178,Motor polyneuropathy,356,Hereditary and idiopathic peripheral neuropathy,,0,1
7182,Peripheral hypomyelination,356,Hereditary and idiopathic peripheral neuropathy,,0,1
7183,Focal T2 hyperintense basal ganglia lesion,333.8,Other degenerative diseases of the basal ganglia,,0,0
7185,Loss of consciousness,291.8,Alteration of consciousness,,0,1
7190,Neuronal loss in the cerebral cortex,,-,,-,0
7204,Diffuse white matter abnormalities,,-,,-,0
7206,Hemimegalencephaly,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
7207,Photosensitive tonic-clonic seizures,345.11,Generalized convulsive epilepsy,,0,0
7208,Irregular myelin loops,,-,,-,0
7209,Facial paralysis,352.2,Facial nerve disorders [CN7],,0,2
7210,Lower limb amyotrophy,772.1,Muscular wasting and disuse atrophy,,0,2
7215,Periodic hyperkalemic paralysis,359.1,Muscular dystrophies,,0,2
7220,Demyelinating motor neuropathy,357,Inflammatory and toxic neuropathy,,0,0
7221,Progressive truncal ataxia,334.1,Spinocerebellar disease,,0,0
7227,Macrogyria,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
7229,Intracerebral periventricular calcifications,348.9,"Other conditions of brain, NOS",,0,0
7230,Decreased distal sensory nerve action potential,,-,,-,0
7232,Spinocerebellar tract disease in lower limbs,334.1,Spinocerebellar disease,,0,0
7233,Clusters of axonal regeneration,,-,,-,0
7236,Recurrent subcortical infarcts,433.21,"Cerebral artery occlusion, with cerebral infarction",,0,1
7240,Progressive gait ataxia,334.1,Spinocerebellar disease,,0,1
7249,Decreased number of small peripheral myelinated nerve fibers,,-,,-,0
7256,Abnormal pyramidal signs,,-,,-,0
7258,Severe demyelination of the white matter,341,Other demyelinating diseases of central nervous system,,0,1
7260,Type II lissencephaly,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
7262,Symmetric peripheral demyelination,357,Inflammatory and toxic neuropathy,,0,1
7263,Spinocerebellar atrophy,334.1,Spinocerebellar disease,,0,1
7266,Cerebral dysmyelination,,-,,-,0
7267,Chronic axonal neuropathy,356,Hereditary and idiopathic peripheral neuropathy,,0,1
7269,Spinal muscular atrophy,334.2,Anterior horn cell disease,,0,7
7271,Occipital myelomeningocele,752.11,Spina bifida,Congenital,1,0
7272,Progressive psychomotor deterioration,292,Neurological disorders,,0,2
7274,Recurrent bacterial meningitis,320,Meningitis,,0,0
7277,Paucity of anterior horn motor neurons,334.2,Anterior horn cell disease,,0,0
7281,Developmental stagnation,315,Develomental delays and disorders,Pediatric,1,0
7285,Facial palsy secondary to cranial hyperostosis,749.2,Congenital anomalies of skull and face bones,Congenital,1,0
7289,Limb fasciculations,350.1,Abnormal involuntary movements,,0,0
7291,Posterior fossa cyst,348.4,Cerebral cysts,,0,1
7293,Anterior sacral meningocele,752.11,Spina bifida,Congenital,1,0
7301,Oromotor apraxia,292.12,Symbolic dysfunction,,0,0
7302,Bipolar affective disorder,296.1,Bipolar,,0,0
7305,CNS demyelination,341,Other demyelinating diseases of central nervous system,,0,10
7307,Rapid neurologic deterioration,290.1,Dementias,,0,0
7308,Extrapyramidal dyskinesia,333,Extrapyramidal disease and abnormal movement disorders,,0,1
7311,Short stepped shuffling gait,350.2,Abnormality of gait,,0,1
7313,Cerebral degeneration,290.12,Dementia with cerebral degenerations,,0,1
7314,White matter neuronal heterotopia,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
7316,Involuntary writhing movements,350.1,Abnormal involuntary movements,,0,0
7321,Deep white matter hypodensities,,-,,-,0
7325,Generalized dystonia,333,Extrapyramidal disease and abnormal movement disorders,,0,1
7326,Progressive choreoathetosis,333.3,Tics and choreas,,0,1
7327,Mixed demyelinating and axonal polyneuropathy,356,Hereditary and idiopathic peripheral neuropathy,,0,1
7328,Impaired pain sensation,,-,,-,0
7330,Frontal encephalocele,752.1,Neural tube defects,Congenital,1,0
7333,Hypoplasia of the frontal lobes,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
7334,Bilateral convulsive seizures,345.3,Convulsions,,0,2
7335,Recurrent encephalopathy,348.8,"Encephalopathy, not elsewhere classified",,0,1
7338,Hypermetric saccades,378.2,Nystagmus and other irregular eye movements,,0,1
7340,Lower limb muscle weakness,772.3,Muscle weakness,,0,24
7341,Diffuse swelling of cerebral white matter,348.2,Cerebral edema and compression of brain,,0,2
7343,Limbic malformations,,-,Congenital,-,0
7344,Atrophy/Degeneration involving the spinal cord,334,Degenerative disease of the spinal cord,,0,1
7346,Subcortical white matter calcifications,348.9,"Other conditions of brain, NOS",,0,0
7348,Hypoplasia of the pyramidal tract,,-,Congenital,-,0
7351,Upper limb postural tremor,333.1,Essential tremor,,0,1
7352,Cerebellar calcifications,348.9,"Other conditions of brain, NOS",,0,0
7354,Amyotrophic lateral sclerosis,,-,,-,0
7359,Focal seizures,345.12,Partial epilepsy,,0,7
7360,Aplasia/Hypoplasia of the cerebellum,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
7361,Abnormality of the pons,,-,,-,0
7366,Atrophy/Degeneration affecting the brainstem,334.1,Spinocerebellar disease,,0,0
7370,Aplasia/Hypoplasia of the corpus callosum,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
7371,Corpus callosum atrophy,331,Other cerebral degenerations,,0,3
7378,Neoplasm of the gastrointestinal tract,151,Cancer of stomach,,0,1
7383,Congenital localized absence of skin,691,Congenital anomalies of skin,Congenital,1,0
7384,Aberrant melanosome maturation,,-,,-,0
7385,Aplasia cutis congenita of scalp,,-,Congenital,-,0
7392,Excessive wrinkled skin,,-,,-,0
7394,Prominent superficial blood vessels,,-,,-,0
7397,Axillary apocrine gland hypoplasia,,-,Congenital,-,0
7398,"Asymmetric, linear skin defects",,-,,-,0
7400,Irregular hyperpigmentation,694.2,Other dyschromia,,0,7
7401,Noninflammatory macular atrophy,362.2,Degeneration of macula and posterior pole of retina,,0,1
7403,Hypertrophy of skin of soles,,-,,-,0
7404,Nonepidermolytic palmoplantar keratoderma,691,Congenital anomalies of skin,Congenital,1,0
7409,"Absence of subcutaneous fat over entire body except buttocks, hips, and thighs",,-,,-,0
7410,Palmoplantar hyperhidrosis,705.8,Hyperhidrosis,,0,0
7411,Hypoplastic-absent sebaceous glands,,-,Congenital,-,0
7413,Nevus flammeus of the forehead,217.1,"Nevus, non-neoplastic",Congenital,1,0
7414,Neonatal wrinkled skin of hands and feet,,-,Infantile,-,0
7417,Discoid lupus erythematosus,695.4,Lupus (localized and systemic),,0,3
7418,Alopecia totalis,704.1,Alopecia,,0,0
7420,Spontaneous hematomas,729,Other disorders of soft tissues,,0,1
7421,Telangiectases of the cheeks,448,Disease of capillaries,,0,0
7427,Reticulated skin pigmentation,694.2,Other dyschromia,,0,2
7428,Telangiectasia of the oral mucosa,448,Disease of capillaries,,0,1
7429,Few cafe-au-lait spots,694.2,Other dyschromia,,0,0
7430,Generalized edema,782.3,Edema,,0,1
7431,Congenital ichthyosiform erythroderma,691.1,Ichthyosis congenita,Congenital,1,0
7432,Intermittent generalized erythematous papular rash,695,Erythematous conditions,,0,1
7435,Diffuse palmoplantar keratoderma,691,Congenital anomalies of skin,Congenital,1,0
7436,Hair-nail ectodermal dysplasia,691,Congenital anomalies of skin,Congenital,1,0
7437,Multiple cutaneous leiomyomas,172,Skin cancer,,0,0
7438,Mottled pigmentation of the trunk and proximal extremities,694,Dyschromia and Vitiligo,,0,0
7440,Generalized hyperpigmentation,694.2,Other dyschromia,,0,5
7441,Hyperpigmented/hypopigmented macules,694,Dyschromia and Vitiligo,,0,0
7443,Partial albinism,,-,,-,0
7446,Palmoplantar blistering,,-,Congenital,-,0
7447,Diffuse palmoplantar hyperkeratosis,691,Congenital anomalies of skin,Congenital,1,0
7448,Hyperkeratosis over edematous areas,701.1,"Keratoderma, acquired",,0,1
7449,Confetti-like hypopigmented macules,694,Dyschromia and Vitiligo,,0,0
7452,Midface capillary hemangioma,228.1,Hemangioma of skin and subcutaneous tissue,,0,0
7455,Adermatoglyphia,691,Congenital anomalies of skin,Congenital,1,0
7456,Progressive reticulate hyperpigmentation,694.2,Other dyschromia,,0,0
7460,Autoamputation of digits,,-,,-,0
7464,Sparse facial hair,,-,,-,0
7465,Honeycomb palmoplantar keratoderma,691,Congenital anomalies of skin,Congenital,1,0
7466,Midfrontal capillary hemangioma,228.1,Hemangioma of skin and subcutaneous tissue,,0,0
7468,Perifollicular hyperkeratosis,701.1,"Keratoderma, acquired",,0,0
7469,Palmoplantar cutis gyrata,691,Congenital anomalies of skin,Congenital,1,0
7470,Periarticular subcutaneous nodules,687.2,"Localized superficial swelling, mass, or lump",,0,1
7473,Crusting erythematous dermatitis,695,Erythematous conditions,,0,1
7475,Congenital bullous ichthyosiform erythroderma,691.1,Ichthyosis congenita,Congenital,1,0
7476,Anhidrotic ectodermal dysplasia,691,Congenital anomalies of skin,Congenital,1,0
7477,Abnormal dermatoglyphics,691,Congenital anomalies of skin,Congenital,1,0
7479,Congenital nonbullous ichthyosiform erythroderma,691.1,Ichthyosis congenita,Congenital,1,0
7480,Decreased sweating due to autonomic dysfunction,,-,,-,0
7482,Generalized papillary lesions,689,Disorder of skin and subcutaneous tissue NOS,,0,0
7483,Depigmentation/hyperpigmentation of skin,694,Dyschromia and Vitiligo,,0,0
7485,Absence of subcutaneous fat,,-,,-,0
7488,Diffuse skin atrophy,,-,,-,0
7489,Diffuse telangiectasia,448,Disease of capillaries,,0,1
7490,Linear arrays of macular hyperkeratoses in flexural areas,,-,,-,0
7494,Discrete 2 to 5-mm hyper- and hypopigmented macules,694,Dyschromia and Vitiligo,,0,0
7495,Prematurely aged appearance,,-,,-,0
7499,Recurrent staphylococcal infections,041.1,Staphylococcus infections,,0,1
7500,Decreased number of sweat glands,705,Disorders of sweat glands,,0,0
7501,Streaks of hyperkeratosis along each finger onto the palm,,-,,-,0
7502,Follicular hyperkeratosis,701.1,"Keratoderma, acquired",,0,1
7505,Progressive hyperpigmentation,694.2,Other dyschromia,,0,0
7513,Generalized hypopigmentation,694,Dyschromia and Vitiligo,,0,4
7514,Edema of the dorsum of hands,782.3,Edema,,0,0
7516,Redundant skin on fingers,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
7517,Palmoplantar cutis laxa,,-,,-,0
7519,Lack of subcutaneous fatty tissue,,-,,-,0
7525,"Yellow subcutaneous tissue covered by thin, scaly skin",,-,,-,0
7526,Hypopigmented skin patches on arms,694,Dyschromia and Vitiligo,,0,1
7530,Punctate palmoplantar hyperkeratosis,691,Congenital anomalies of skin,Congenital,1,0
7537,Severe photosensitivity,938,Dermatitis due to solar radiation,,0,0
7541,Frontal cutaneous lipoma,214.1,Lipoma of skin and subcutaneous tissue,,0,0
7542,Absent pigmentation of the ventral chest,,-,,-,0
7543,Epidermal hyperkeratosis,701.1,"Keratoderma, acquired",,0,0
7544,Piebaldism,694.2,Other dyschromia,,0,0
7545,Congenital palmoplantar keratosis,691,Congenital anomalies of skin,Congenital,1,0
7546,Linear hyperpigmentation,694.2,Other dyschromia,,0,0
7548,Palmoplantar keratosis with erythema and scale,691,Congenital anomalies of skin,Congenital,1,0
7549,Desquamation of skin soon after birth,691,Congenital anomalies of skin,Congenital,1,0
7550,Hypohidrosis or hyperhidrosis,705.8,Hyperhidrosis,,0,1
7552,Abnormal subcutaneous fat tissue distribution,,-,,-,0
7553,Congenital symmetrical palmoplantar keratosis,691,Congenital anomalies of skin,Congenital,1,0
7556,Plantar hyperkeratosis,691,Congenital anomalies of skin,Congenital,1,0
7559,Localized epidermolytic hyperkeratosis,701.1,"Keratoderma, acquired",,0,1
7561,Telangiectases in sun-exposed and nonexposed skin,448,Disease of capillaries,,0,1
7565,Multiple cafe-au-lait spots,694.2,Other dyschromia,,0,0
7569,Generalized seborrheic dermatitis,690.1,Seborrheic dermatitis,,0,0
7583,Telangiectasia macularis eruptiva perstans,448,Disease of capillaries,,0,1
7585,Skin fragility with non-scarring blistering,,-,,-,0
7587,Numerous pigmented freckles,,-,,-,0
7588,Reticular hyperpigmentation,694.2,Other dyschromia,,0,1
7589,Aplasia cutis congenita on trunk or limbs,,-,Congenital,-,0
7590,Aplasia cutis congenita over posterior parietal area,,-,Congenital,-,0
7592,Aplasia/Hypoplastia of the eccrine sweat glands,705,Disorders of sweat glands,Congenital,1,0
7598,Bilateral single transverse palmar creases,,-,,-,0
7601,Midline facial capillary hemangioma,228.1,Hemangioma of skin and subcutaneous tissue,,0,0
7603,Freckles in sun-exposed areas,,-,,-,0
7607,Hypohidrotic ectodermal dysplasia,691,Congenital anomalies of skin,Congenital,1,0
7609,Hypoproteinemic edema,782.3,Edema,,0,0
7610,Blotching pigmentation of the skin,694,Dyschromia and Vitiligo,,0,1
7617,"Fine, reticulate skin pigmentation",694.2,Other dyschromia,,0,0
7618,Subcutaneous calcification,702.4,Degenerative skin disorders,,0,1
7620,Cutaneous leiomyoma,172,Skin cancer,,0,0
7623,Pigmentation anomalies of sun-exposed skin,694.2,Other dyschromia,,0,1
7626,Mandibular osteomyelitis,710.1,Osteomyelitis,,0,1
7627,Mandibular condyle aplasia,,-,Congenital,-,0
7628,Mandibular condyle hypoplasia,526.3,Anomalies of jaw size/symmetry,Congenital,1,0
7633,Bilateral microphthalmos,753,Congenital anomalies of the eye,Congenital,1,0
7634,Nonarteritic anterior ischemic optic neuropathy,377.3,Optic neuritis/neuropathy,,0,1
7641,Dyschromatopsia,368.5,Color vision deficiencies,,0,4
7642,Congenital stationary night blindness,368,Visual disturbances,Congenital,1,0
7643,Peripheral traction retinal detachment,361,Retinal detachments and defects,,0,1
7648,Punctate cataract,366,Cataract,,0,0
7649,Congenital hypertrophy of retinal pigment epithelium,749,Congenital anomalies of face and neck,Congenital,1,0
7650,Progressive ophthalmoplegia,378,Strabismus and other disorders of binocular eye movements,,0,1
7654,Retinal striation,,-,,-,0
7655,Eversion of lateral third of lower eyelids,,-,,-,0
7656,Lacrimal gland aplasia,,-,Congenital,-,0
7657,Diffuse nuclear cataract,366.1,Nonsenile Cataract,,0,0
7658,Large hyperpigmented retinal spots,362,Other retinal disorders,,0,1
7659,Decreased retinal pigmentation with dispersion,362.7,Hereditary retinal dystrophies,,0,0
7661,Chorioretinal hypopigmentation or hyperpigmentation,362.7,Hereditary retinal dystrophies,,0,1
7663,Decreased central vision,368,Visual disturbances,,0,5
7665,Curly eyelashes,,-,,-,0
7667,Cystic retinal degeneration,362.6,Peripheral retinal degenerations,,0,0
7668,Impaired pursuit initiation and maintenance,378.2,Nystagmus and other irregular eye movements,,0,1
7670,Abnormal vestibulo-ocular reflex,378.2,Nystagmus and other irregular eye movements,,0,1
7675,Progressive night blindness,368,Visual disturbances,,0,1
7676,Hypoplasia of the iris,753,Congenital anomalies of the eye,Congenital,1,0
7677,Vitelliform maculopathy,362.7,Hereditary retinal dystrophies,,0,1
7678,Lacrimal duct stenosis,375,Disorders of lacrimal system,,0,0
7680,Depigmented fundus,362.7,Hereditary retinal dystrophies,,0,0
7685,Peripheral retinal avascularization,,-,,-,0
7688,Absent rod-and cone-mediated responses on ERG,,-,,-,0
7690,Map-dot-fingerprint corneal dystrophy,364.5,Corneal dystrophy,,0,0
7695,Abnormal pupillary light reflex,379.4,Anomalies of pupillary function,,0,1
7698,Retinal pigment epithelial atrophy,362.7,Hereditary retinal dystrophies,,0,1
7700,Anterior segment dysgenesis,,-,Congenital,-,0
7702,Pigmentary retinal deposits,362,Other retinal disorders,,0,0
7703,Abnormal retinal pigmentation,362.7,Hereditary retinal dystrophies,,0,16
7704,Paroxysmal involuntary eye movements,378,Strabismus and other disorders of binocular eye movements,,0,1
7705,Corneal degeneration,364.4,Corneal degenerations,,0,0
7707,Congenital primary aphakia,,-,Congenital,-,0
7710,Peripheral vitreous opacities,379.2,Disorders of vitreous body,,0,0
